0.000808,0.080058,0.310325,0.686148,1.404704,1.781035,2.442549,3.775086,4.961383
0.000701,0.071657,0.286092,0.637914,1.314148,1.661141,2.266835,3.538737,4.707907
0.000873,0.087860,0.344216,0.756220,1.510229,1.891718,2.553184,3.931427,5.188686
0.000845,0.083856,0.326823,0.721821,1.465268,1.843635,2.505473,3.898988,5.171499
0.000800,0.083184,0.338408,0.752464,1.513363,1.902066,2.586595,3.997202,5.223501
0.000786,0.079583,0.311280,0.691856,1.427278,1.811093,2.493596,3.880495,5.024914
0.000675,0.068758,0.272120,0.604688,1.248997,1.591327,2.199209,3.445347,4.538834
0.000963,0.096089,0.369429,0.804045,1.595455,1.994070,2.695749,4.186150,5.484692
0.000867,0.087965,0.346454,0.764579,1.533540,1.917946,2.579874,3.964080,5.240694
0.000560,0.056494,0.224641,0.508682,1.062250,1.345866,1.840263,2.891942,3.895187
0.000692,0.070220,0.279565,0.629641,1.282728,1.614654,2.194973,3.446313,4.598994
0.000815,0.082690,0.326897,0.724443,1.480731,1.872096,2.559440,4.002314,5.310157
0.000950,0.094357,0.365554,0.810471,1.670868,2.111940,2.878333,4.430460,5.768607
0.000600,0.061638,0.248652,0.564888,1.188629,1.514955,2.084427,3.273183,4.348825
0.000789,0.078481,0.305640,0.681580,1.410993,1.780906,2.408850,3.693176,4.837967
0.000922,0.093689,0.372676,0.832222,1.676622,2.093470,2.801644,4.214207,5.482828
0.000919,0.093913,0.371646,0.814673,1.618209,2.015972,2.710944,4.211389,5.601532
0.001063,0.104796,0.397028,0.852219,1.702002,2.137113,2.891452,4.408581,5.765594
0.000654,0.066424,0.265615,0.592647,1.212483,1.536475,2.116629,3.365536,4.497083
0.000640,0.064993,0.258899,0.575992,1.168984,1.474496,2.018345,3.199873,4.283485
0.000660,0.067672,0.276583,0.630434,1.309898,1.659601,2.263803,3.501733,4.631376
0.001020,0.102836,0.403723,0.889403,1.815652,2.286447,3.090856,4.710993,6.089709
0.000735,0.075001,0.296539,0.650726,1.310658,1.654661,2.270369,3.565902,4.737448
0.000612,0.062170,0.245948,0.547392,1.132184,1.441007,1.988956,3.151364,4.220392
0.001020,0.102394,0.389611,0.839577,1.674980,2.093113,2.811535,4.314706,5.689481
0.000783,0.078345,0.309643,0.692178,1.411977,1.772627,2.392948,3.681614,4.830184
0.000795,0.080320,0.320692,0.715368,1.463422,1.847561,2.518229,3.893033,5.121058
0.000833,0.082807,0.322090,0.708474,1.418456,1.777499,2.411865,3.793516,5.050540
0.000809,0.081073,0.313760,0.694189,1.426354,1.810806,2.493432,3.910571,5.152109
0.000784,0.079732,0.316094,0.693738,1.410954,1.788265,2.457130,3.834052,5.034714
0.000742,0.075110,0.295584,0.656773,1.353423,1.722163,2.375902,3.713555,4.905900
0.000768,0.077944,0.306611,0.678736,1.394629,1.770632,2.426313,3.748960,4.948940
0.000826,0.083123,0.319063,0.688582,1.391238,1.758151,2.407690,3.799938,5.040439
0.000932,0.091987,0.354436,0.776469,1.562692,1.960288,2.650971,4.075543,5.350013
0.000661,0.066706,0.262768,0.581308,1.191690,1.505866,2.054058,3.236888,4.361098
0.000894,0.090517,0.355230,0.781846,1.589964,2.004748,2.730102,4.180404,5.446163
0.000663,0.067737,0.270831,0.615456,1.283117,1.624504,2.218099,3.432512,4.515703
0.000708,0.070716,0.272914,0.597868,1.225424,1.561408,2.154302,3.412460,4.523874
0.001054,0.103464,0.397044,0.860452,1.716230,2.160272,2.948009,4.592994,6.029143
0.000868,0.086302,0.331707,0.725624,1.455940,1.824379,2.469299,3.865968,5.180247
0.000671,0.067606,0.264757,0.588832,1.221189,1.550354,2.133055,3.385535,4.496989
0.000900,0.091852,0.360341,0.783951,1.553480,1.946742,2.640914,4.116077,5.433229
0.000768,0.078126,0.304820,0.663187,1.352256,1.716284,2.361222,3.730542,4.952233
0.000918,0.091444,0.360436,0.794027,1.599581,2.009982,2.732751,4.197695,5.444577
0.000658,0.066920,0.264315,0.595042,1.234851,1.560155,2.135143,3.379425,4.511467
0.000639,0.065334,0.264306,0.604931,1.254487,1.590707,2.188528,3.419734,4.479414
0.000648,0.066227,0.263274,0.585643,1.199327,1.520650,2.100935,3.342044,4.429629
0.000654,0.067093,0.273732,0.625119,1.303289,1.647863,2.250791,3.518668,4.659968
0.000921,0.094405,0.376006,0.830661,1.677050,2.112301,2.869894,4.403736,5.757622
